technique_id,technique_name,tactics,platforms,is_subtechnique
T1001,Data Obfuscation,Command And Control,ESXi|Linux|macOS|Windows,false
T1001.001,Junk Data,Command And Control,ESXi|Linux|macOS|Windows,true
T1001.002,Steganography,Command And Control,Linux|macOS|Windows|ESXi,true
T1001.003,Protocol or Service Impersonation,Command And Control,ESXi|Linux|macOS|Windows,true
T1003,OS Credential Dumping,Credential Access,Linux|macOS|Windows,false
T1003.001,LSASS Memory,Credential Access,Windows,true
T1003.002,Security Account Manager,Credential Access,Windows,true
T1003.003,NTDS,Credential Access,Windows,true
T1003.004,LSA Secrets,Credential Access,Windows,true
T1003.005,Cached Domain Credentials,Credential Access,Windows|Linux,true
T1003.006,DCSync,Credential Access,Windows,true
T1003.007,Proc Filesystem,Credential Access,Linux,true
T1003.008,/etc/passwd and /etc/shadow,Credential Access,Linux,true
T1005,Data from Local System,Collection,ESXi|Linux|macOS|Network Devices|Windows,false
T1006,Direct Volume Access,Stealth,Network Devices|Windows,false
T1007,System Service Discovery,Discovery,Linux|macOS|Windows,false
T1008,Fallback Channels,Command And Control,ESXi|Linux|macOS|Windows,false
T1010,Application Window Discovery,Discovery,Linux|macOS|Windows,false
T1011,Exfiltration Over Other Network Medium,Exfiltration,Linux|macOS|Windows,false
T1011.001,Exfiltration Over Bluetooth,Exfiltration,Linux|macOS|Windows,true
T1012,Query Registry,Discovery,Windows,false
T1014,Rootkit,Stealth,Linux|macOS|Windows,false
T1016,System Network Configuration Discovery,Discovery,ESXi|Linux|macOS|Network Devices|Windows,false
T1016.001,Internet Connection Discovery,Discovery,Windows|Linux|macOS|ESXi,true
T1016.002,Wi-Fi Discovery,Discovery,Linux|Windows|macOS,true
T1018,Remote System Discovery,Discovery,ESXi|Linux|macOS|Network Devices|Windows,false
T1020,Automated Exfiltration,Exfiltration,Linux|macOS|Network Devices|Windows,false
T1020.001,Traffic Duplication,Exfiltration,Network Devices|IaaS,true
T1021,Remote Services,Lateral Movement,Linux|macOS|Windows|IaaS|ESXi,false
T1021.001,Remote Desktop Protocol,Lateral Movement,Windows,true
T1021.002,SMB/Windows Admin Shares,Lateral Movement,Windows,true
T1021.003,Distributed Component Object Model,Lateral Movement,Windows,true
T1021.004,SSH,Lateral Movement,ESXi|Linux|macOS,true
T1021.005,VNC,Lateral Movement,Linux|Windows|macOS,true
T1021.006,Windows Remote Management,Lateral Movement,Windows,true
T1021.007,Cloud Services,Lateral Movement,IaaS|Identity Provider|Office Suite|SaaS,true
T1021.008,Direct Cloud VM Connections,Lateral Movement,IaaS,true
T1025,Data from Removable Media,Collection,Linux|macOS|Windows,false
T1027,Obfuscated Files or Information,Stealth,ESXi|Linux|macOS|Network Devices|Windows,false
T1027.001,Binary Padding,Stealth,Linux|macOS|Windows,true
T1027.002,Software Packing,Stealth,Linux|macOS|Windows,true
T1027.003,Steganography,Stealth,Linux|macOS|Windows,true
T1027.004,Compile After Delivery,Stealth,Linux|macOS|Windows,true
T1027.005,Indicator Removal from Tools,Stealth,Linux|macOS|Windows,true
T1027.006,HTML Smuggling,Stealth,Linux|macOS|Windows,true
T1027.007,Dynamic API Resolution,Stealth,Windows,true
T1027.008,Stripped Payloads,Stealth,Linux|macOS|Network Devices|Windows,true
T1027.009,Embedded Payloads,Stealth,Linux|macOS|Windows,true
T1027.010,Command Obfuscation,Stealth,Linux|macOS|Windows,true
T1027.011,Fileless Storage,Stealth,Linux|Windows,true
T1027.012,LNK Icon Smuggling,Stealth,Windows,true
T1027.013,Encrypted/Encoded File,Stealth,Linux|macOS|Windows,true
T1027.014,Polymorphic Code,Stealth,Linux|macOS|Windows,true
T1027.015,Compression,Stealth,Linux|macOS|Windows,true
T1027.016,Junk Code Insertion,Stealth,Linux|macOS|Windows,true
T1027.017,SVG Smuggling,Stealth,Linux|macOS|Windows,true
T1027.018,Invisible Unicode,Stealth,Linux|macOS|Windows,true
T1029,Scheduled Transfer,Exfiltration,Linux|macOS|Windows,false
T1030,Data Transfer Size Limits,Exfiltration,Linux|macOS|Windows|ESXi,false
T1033,System Owner/User Discovery,Discovery,Linux|macOS|Network Devices|Windows,false
T1036,Masquerading,Stealth,Containers|ESXi|Linux|macOS|Windows,false
T1036.001,Invalid Code Signature,Stealth,macOS|Windows,true
T1036.002,Right-to-Left Override,Stealth,Linux|macOS|Windows,true
T1036.003,Rename Legitimate Utilities,Stealth,Linux|macOS|Windows,true
T1036.004,Masquerade Task or Service,Stealth,Linux|macOS|Windows,true
T1036.005,Match Legitimate Resource Name or Location,Stealth,Containers|ESXi|Linux|macOS|Windows,true
T1036.006,Space after Filename,Stealth,Linux|macOS,true
T1036.007,Double File Extension,Stealth,Windows,true
T1036.008,Masquerade File Type,Stealth,Linux|macOS|Windows,true
T1036.009,Break Process Trees,Stealth,Linux|macOS,true
T1036.010,Masquerade Account Name,Stealth,Containers|IaaS|Identity Provider|Linux|macOS|Office Suite|SaaS|Windows,true
T1036.011,Overwrite Process Arguments,Stealth,Linux,true
T1036.012,Browser Fingerprint,Stealth,Linux|macOS|Windows,true
T1037,Boot or Logon Initialization Scripts,Persistence|Privilege Escalation,ESXi|Linux|macOS|Network Devices|Windows,false
T1037.001,Logon Script (Windows),Persistence|Privilege Escalation,Windows,true
T1037.002,Login Hook,Persistence|Privilege Escalation,macOS,true
T1037.003,Network Logon Script,Persistence|Privilege Escalation,Windows,true
T1037.004,RC Scripts,Persistence|Privilege Escalation,macOS|Linux|Network Devices|ESXi,true
T1037.005,Startup Items,Persistence|Privilege Escalation,macOS,true
T1039,Data from Network Shared Drive,Collection,Linux|macOS|Windows,false
T1040,Network Sniffing,Credential Access|Discovery,IaaS|Linux|macOS|Network Devices|Windows,false
T1041,Exfiltration Over C2 Channel,Exfiltration,ESXi|Linux|macOS|Windows,false
T1046,Network Service Discovery,Discovery,Containers|IaaS|Linux|macOS|Network Devices|Windows,false
T1047,Windows Management Instrumentation,Execution,Windows,false
T1048,Exfiltration Over Alternative Protocol,Exfiltration,ESXi|IaaS|Linux|macOS|Network Devices|Office Suite|SaaS|Windows,false
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,Exfiltration,Linux|macOS|Windows|ESXi,true
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,Exfiltration,ESXi|Linux|macOS|Windows,true
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,Exfiltration,ESXi|Linux|macOS|Network Devices|Windows,true
T1049,System Network Connections Discovery,Discovery,ESXi|IaaS|Linux|macOS|Network Devices|Windows,false
T1052,Exfiltration Over Physical Medium,Exfiltration,Linux|macOS|Windows,false
T1052.001,Exfiltration over USB,Exfiltration,Linux|Windows|macOS,true
T1053,Scheduled Task/Job,Execution|Persistence|Privilege Escalation,Containers|ESXi|Linux|macOS|Network Devices|Windows,false
T1053.002,At,Execution|Persistence|Privilege Escalation,Windows|Linux|macOS,true
T1053.003,Cron,Execution|Persistence|Privilege Escalation,Linux|macOS|ESXi,true
T1053.005,Scheduled Task,Execution|Persistence|Privilege Escalation,Windows,true
T1053.006,Systemd Timers,Execution|Persistence|Privilege Escalation,Linux,true
T1053.007,Container Orchestration Job,Execution|Persistence|Privilege Escalation,Containers,true
T1055,Process Injection,Stealth|Privilege Escalation,Linux|macOS|Windows,false
T1055.001,Dynamic-link Library Injection,Stealth|Privilege Escalation,Windows,true
T1055.002,Portable Executable Injection,Stealth|Privilege Escalation,Windows,true
T1055.003,Thread Execution Hijacking,Stealth|Privilege Escalation,Windows,true
T1055.004,Asynchronous Procedure Call,Stealth|Privilege Escalation,Windows,true
T1055.005,Thread Local Storage,Stealth|Privilege Escalation,Windows,true
T1055.008,Ptrace System Calls,Stealth|Privilege Escalation,Linux,true
T1055.009,Proc Memory,Stealth|Privilege Escalation,Linux,true
T1055.011,Extra Window Memory Injection,Stealth|Privilege Escalation,Windows,true
T1055.012,Process Hollowing,Stealth|Privilege Escalation,Windows,true
T1055.013,Process Doppelgänging,Stealth|Privilege Escalation,Windows,true
T1055.014,VDSO Hijacking,Stealth|Privilege Escalation,Linux,true
T1055.015,ListPlanting,Stealth|Privilege Escalation,Windows,true
T1056,Input Capture,Collection|Credential Access,Linux|macOS|Network Devices|Windows,false
T1056.001,Keylogging,Collection|Credential Access,Linux|macOS|Network Devices|Windows,true
T1056.002,GUI Input Capture,Collection|Credential Access,Linux|macOS|Windows,true
T1056.003,Web Portal Capture,Collection|Credential Access,Linux|macOS|Windows,true
T1056.004,Credential API Hooking,Collection|Credential Access,Windows|Linux|macOS,true
T1057,Process Discovery,Discovery,ESXi|Linux|macOS|Network Devices|Windows,false
T1059,Command and Scripting Interpreter,Execution,Containers|ESXi|IaaS|Identity Provider|Linux|macOS|Network Devices|Office Suite|SaaS|Windows,false
T1059.001,PowerShell,Execution,Windows,true
T1059.002,AppleScript,Execution,macOS,true
T1059.003,Windows Command Shell,Execution,Windows,true
T1059.004,Unix Shell,Execution,ESXi|Linux|macOS|Network Devices,true
T1059.005,Visual Basic,Execution,Linux|macOS|Windows,true
T1059.006,Python,Execution,ESXi|Linux|macOS|Windows,true
T1059.007,JavaScript,Execution,Linux|macOS|Windows,true
T1059.008,Network Device CLI,Execution,Network Devices,true
T1059.009,Cloud API,Execution,IaaS|Identity Provider|Office Suite|SaaS,true
T1059.010,AutoHotKey & AutoIT,Execution,Windows,true
T1059.011,Lua,Execution,Linux|Network Devices|Windows|macOS,true
T1059.012,Hypervisor CLI,Execution,ESXi,true
T1059.013,Container CLI/API,Execution,Containers,true
T1068,Exploitation for Privilege Escalation,Privilege Escalation,Containers|Linux|macOS|Windows,false
T1069,Permission Groups Discovery,Discovery,Containers|IaaS|Identity Provider|Linux|macOS|Office Suite|SaaS|Windows,false
T1069.001,Local Groups,Discovery,Linux|macOS|Windows,true
T1069.002,Domain Groups,Discovery,Linux|macOS|Windows,true
T1069.003,Cloud Groups,Discovery,SaaS|IaaS|Office Suite|Identity Provider,true
T1070,Indicator Removal,Stealth,Containers|ESXi|Linux|macOS|Network Devices|Office Suite|Windows,false
T1070.003,Clear Command History,Stealth,ESXi|Linux|macOS|Network Devices|Windows,true
T1070.004,File Deletion,Stealth,ESXi|Linux|macOS|Windows,true
T1070.005,Network Share Connection Removal,Stealth,Windows,true
T1070.006,Timestomp,Stealth,ESXi|Linux|macOS|Windows,true
T1070.007,Clear Network Connection History and Configurations,Stealth,Linux|macOS|Windows|Network Devices,true
T1070.008,Clear Mailbox Data,Stealth,Linux|macOS|Office Suite|Windows,true
T1070.009,Clear Persistence,Stealth,ESXi|Linux|macOS|Windows,true
T1070.010,Relocate Malware,Stealth,Linux|macOS|Network Devices|Windows,true
T1071,Application Layer Protocol,Command And Control,Linux|macOS|Windows|Network Devices|ESXi,false
